module,live_composer_version,local_composer_version,versions_match
magento/module-url-rewrite,102.0.2,102.0.2,True
magento/module-url-rewrite-graph-ql,100.4.2,100.4.2,True
magento/module-user,101.2.3-p2,101.2.3-p2,True
magento/module-usps,100.4.2,100.4.2,True
magento/module-variable,100.4.1-p2,100.4.1-p2,True
magento/module-vault,101.2.3-p1,101.2.3-p1,True
magento/module-vault-graph-ql,100.4.0,100.4.0,True
magento/module-version,100.4.0,100.4.0,True
magento/module-webapi,100.4.2-p2,100.4.2-p2,True
magento/module-webapi-async,100.4.1-p2,100.4.1-p2,True
magento/module-webapi-security,100.4.1,100.4.1,True
magento/module-weee,100.4.3,100.4.3,True
magento/module-weee-graph-ql,100.4.1,100.4.1,True
magento/module-widget,101.2.3-p3,101.2.3-p3,True
magento/module-wishlist,101.2.3-p3,101.2.3-p3,True
magento/module-wishlist-analytics,100.4.2,100.4.2,True
magento/module-wishlist-graph-ql,100.4.3,100.4.3,True
magento/page-builder,1.7.0-p3,1.7.0-p3,True
magento/product-community-edition,2.4.3-p3,2.4.3-p3,True
magento/security-package,1.1.2,1.1.2,True
magento/theme-adminhtml-backend,100.4.3-p1,100.4.3-p1,True
magento/theme-frontend-blank,100.4.3,100.4.3,True
magento/theme-frontend-luma,100.4.3,100.4.3,True
magento/zendframework1,1.14.5,1.14.5,True
mirasvit/module-core,1.4.14,1.4.37,False
mirasvit/module-feed,1.2.9,1.4.8,False
mirasvit/module-report,1.4.11,1.4.34,False
mirasvit/module-report-api,1.0.58,1.0.68,False
mobiledetect/mobiledetectlib,2.8.41,2.8.45,False
monolog/monolog,1.27.1,1.27.1,True
mtdowling/jmespath.php,2.6.1,2.7.0,False
mustache/mustache,v2.14.2,v2.14.2,True
myclabs/deep-copy,1.11.1,1.12.0,False
myclabs/php-enum,1.8.4,1.8.4,True
nikic/php-parser,v4.4.0,v4.4.0,True
paragonie/constant_time_encoding,v2.6.3,v2.7.0,False
paragonie/random_compat,v9.99.100,v9.99.100,True
paragonie/sodium_compat,v1.19.0,v1.21.1,False
paypal/module-braintree,4.2.5,4.2.5,True
paypal/module-braintree-core,4.2.5,4.2.5,True
paypal/module-braintree-graph-ql,4.1.3,4.1.3,True
pdepend/pdepend,2.7.1,2.7.1,True
pelago/emogrifier,v5.0.1,v5.0.1,True
phar-io/manifest,1.0.3,1.0.3,True
phar-io/version,2.0.1,2.0.1,True
php-amqplib/php-amqplib,v2.10.1,v2.10.1,True
php-cs-fixer/diff,v1.3.1,v1.3.1,True
php-webdriver/webdriver,1.8.2,1.8.2,True
phpcompatibility/php-compatibility,9.3.5,9.3.5,True
phpdocumentor/reflection-common,2.2.0,2.2.0,True
phpdocumentor/reflection-docblock,5.3.0,5.4.1,False
phpdocumentor/type-resolver,1.6.2,1.8.2,False
phpgt/cssxpath,v1.1.4,v1.1.4,True
phpgt/dom,v2.1.6,v2.1.6,True
phpmd/phpmd,2.9.1,2.9.1,True
phpseclib/mcrypt_compat,1.0.8,1.0.8,True
phpseclib/phpseclib,2.0.42,2.0.47,False
phpspec/prophecy,v1.17.0,v1.19.0,False
phpstan/phpdoc-parser,1.16.1,1.29.1,False
phpstan/phpstan,0.12.100,0.12.100,True
phpunit/php-code-coverage,8.0.2,8.0.2,True
phpunit/php-file-iterator,3.0.6,3.0.6,True
phpunit/php-invoker,3.1.1,3.1.1,True
phpunit/php-text-template,2.0.4,2.0.4,True
phpunit/php-timer,5.0.3,5.0.3,True
phpunit/php-token-stream,4.0.4,4.0.4,True
phpunit/phpunit,9.2.6,9.2.6,True
psr/cache,1.0.1,1.0.1,True
psr/container,1.1.2,1.1.2,True
psr/event-dispatcher,1.0.0,1.0.0,True
psr/http-client,1.0.2,1.0.3,False
psr/http-factory,1.0.2,1.1.0,False
psr/http-message,1.1,1.1,True
psr/log,1.1.4,1.1.4,True
ralouphie/getallheaders,3.0.3,3.0.3,True
ramsey/collection,1.3.0,1.3.0,True
ramsey/uuid,4.1.3,4.1.3,True
react/promise,v2.9.0,v2.11.0,False
sebastian/cli-parser,1.0.1,1.0.2,False
sebastian/code-unit,1.0.8,1.0.8,True
sebastian/code-unit-reverse-lookup,2.0.3,2.0.3,True
sebastian/comparator,4.0.8,4.0.8,True
sebastian/diff,4.0.4,4.0.6,False
sebastian/environment,5.1.5,5.1.5,True
sebastian/exporter,4.0.5,4.0.6,False
sebastian/global-state,4.0.0,4.0.0,True
sebastian/object-enumerator,4.0.4,4.0.4,True
sebastian/object-reflector,2.0.4,2.0.4,True
sebastian/phpcpd,6.0.3,6.0.3,True
sebastian/recursion-context,4.0.5,4.0.5,True
sebastian/resource-operations,3.0.3,3.0.4,False
sebastian/type,2.3.4,2.3.4,True
sebastian/version,3.0.2,3.0.2,True
seld/jsonlint,1.10.0,1.10.2,False
seld/phar-utils,1.2.1,1.2.1,True
spomky-labs/aes-key-wrap,v6.0.0,v6.0.0,True
spomky-labs/base64url,v2.0.4,v2.0.4,True
spomky-labs/otphp,v10.0.3,v10.0.3,True
squizlabs/php_codesniffer,3.5.8,3.5.8,True
symfony/config,v5.4.21,v5.4.40,False
symfony/console,v4.4.49,v4.4.49,True
symfony/css-selector,v5.4.21,v5.4.40,False
symfony/debug,v4.4.44,v4.4.44,True
symfony/dependency-injection,v5.4.23,v5.4.40,False
symfony/deprecation-contracts,v2.5.2,v2.5.3,False
symfony/error-handler,v4.4.44,v4.4.44,True
symfony/event-dispatcher,v4.4.44,v4.4.44,True
symfony/event-dispatcher-contracts,v1.1.13,v1.10.0,False
symfony/filesystem,v5.4.23,v5.4.41,False
symfony/finder,v5.4.21,v5.4.40,False
symfony/http-client-contracts,v2.5.2,v2.5.3,False
symfony/http-foundation,v5.4.23,v5.4.40,False
symfony/http-kernel,v4.4.50,v4.4.51,False
symfony/mime,v5.4.21,v5.4.41,False
symfony/options-resolver,v5.4.21,v5.4.40,False
symfony/polyfill-ctype,v1.27.0,v1.30.0,False
symfony/polyfill-intl-grapheme,v1.27.0,v1.30.0,False
symfony/polyfill-intl-idn,v1.27.0,v1.30.0,False
symfony/polyfill-intl-normalizer,v1.27.0,v1.30.0,False
symfony/polyfill-mbstring,v1.27.0,v1.30.0,False
symfony/polyfill-php70,v1.20.0,v1.20.0,True
symfony/polyfill-php72,v1.27.0,v1.30.0,False
symfony/polyfill-php73,v1.27.0,v1.30.0,False
symfony/polyfill-php80,v1.27.0,v1.30.0,False
symfony/polyfill-php81,v1.27.0,v1.30.0,False
symfony/process,v4.4.44,v4.4.44,True
symfony/property-access,v5.4.21,v5.4.40,False
symfony/property-info,v5.4.21,v5.4.41,False
symfony/service-contracts,v2.5.2,v2.5.3,False
symfony/stopwatch,v5.4.21,v5.4.40,False
symfony/string,v5.4.21,v5.4.41,False
symfony/var-dumper,v5.4.23,v5.4.40,False
symfony/yaml,v5.3.14,v5.3.14,True
tedivm/jshrink,v1.4.0,v1.4.0,True
temando/module-shipping,2.0.0,2.0.0,True
temando/module-shipping-remover,1.0.0,1.0.0,True
thecodingmachine/safe,v1.3.3,v1.3.3,True
theseer/tokenizer,1.2.1,1.2.3,False
tubalmartin/cssmin,v4.1.1,v4.1.1,True
ulmod/ordercomment,2.4.3,2.4.5,False
vertexinc/module-address-validation,2.1.3,2.1.3,True
vertexinc/module-address-validation-api,1.0.1,1.0.1,True
vertexinc/module-request-logging,1.0.0,1.0.0,True
vertexinc/module-request-logging-api,1.0.0,1.0.0,True
vertexinc/module-tax,4.2.2,4.2.2,True
vertexinc/product-magento-module,4.2.2,4.2.2,True
vertexinc/sdk,1.2.8,1.2.8,True
vlucas/phpdotenv,v2.6.9,v2.6.9,True
web-token/jwt-framework,v2.2.11,v2.2.11,True
webimpress/safe-writer,2.2.0,2.2.0,True
webmozart/assert,1.11.0,1.11.0,True
webonyx/graphql-php,v0.13.9,v0.13.9,True
weew/helpers-array,v1.3.1,v1.3.1,True
wikimedia/less.php,v3.2.1,v3.2.1,True
yotpo/magento2-module-yotpo-reviews,3.2.0,3.2.0,True
yotpo/magento2-module-yotpo-reviews-bundle,3.2.0,3.2.0,True
zf1/zend-exception,1.12.20,1.12.20,True
zf1/zend-reflection,1.12.20,1.12.20,True
