2tvenom/cborencode                                                1.0.2      CBOR encoder for PHP
endroid/qr-code                                                   3.9.7      Endroid QR Code
ezimuel/guzzlestreams                                             3.1.0      Fork of guzzle/streams (abandoned) to be used with elasticsearch-php
ezimuel/ringphp                                                   1.2.2      Fork of guzzle/RingPHP (abandoned) to be used with elasticsearch-php
fgrosse/phpasn1                                                   v2.5.0     A PHP Framework that allows you to encode and decode arbitrary ASN.1 structures using the ITU-T X.690 Encod...
friendsofphp/php-cs-fixer                                         v2.18.7    A tool to automatically fix PHP code style
google/recaptcha                                                  1.2.4      Client library for reCAPTCHA, a free service that protects websites from spam and abuse.
guzzlehttp/guzzle                                                 6.5.8      Guzzle is a PHP HTTP client library
guzzlehttp/promises                                               1.5.3      Guzzle promises library
guzzlehttp/psr7                                                   1.9.1      PSR-7 message implementation that also provides common utility methods
hoa/consistency                                                   1.17.05.02 The Hoa\Consistency library.
hoa/console                                                       3.17.05.02 The Hoa\Console library.
hoa/event                                                         1.17.01.13 The Hoa\Event library.
hoa/exception                                                     1.17.01.16 The Hoa\Exception library.
hoa/file                                                          1.17.07.11 The Hoa\File library.
hoa/iterator                                                      2.17.01.10 The Hoa\Iterator library.
hoa/protocol                                                      1.17.01.14 The Hoa\Protocol library.
hoa/stream                                                        1.17.02.21 The Hoa\Stream library.
hoa/ustring                                                       4.17.01.16 The Hoa\Ustring library.
hp/subcategorythumbnails                                          2.3.1      Subcategory thumbnails for category page
jms/metadata                                                      2.8.0      Class/method/property metadata management in PHP
jms/serializer                                                    3.23.0     Library for (de-)serializing data of any complexity; supports XML, and JSON.
justinrainbow/json-schema                                         5.2.12     A library to validate a json schema.
khanamiryan/qrcode-detector-decoder                               1.0.6      QR code decoder / reader
klarna/m2-payments                                                8.3.6      Klarna Payments for Magento 2 (CE & EE)
klarna/module-core                                                6.2.4      Klarna Core Magento 2 Extension
klarna/module-kp                                                  7.3.7      Klarna Payments Magento 2 Extension
klarna/module-kp-graph-ql                                         0.9.7      Klarna KpGraphQl Magento 2 Extension
klarna/module-onsitemessaging                                     1.0.6      Klarna OnSite Messaging Magento 2 Extension
klarna/module-ordermanagement                                     6.2.5      Klarna Order Management Magento 2 Extension
klaviyo/magento2-extension                                        4.1.3      Klaviyo extension for Magento 2. Allows pushing newsletters to Klaviyo's platform and more.
laminas/laminas-captcha                                           2.12.0     Generate and validate CAPTCHAs using Figlets, images, ReCaptcha, and more
laminas/laminas-code                                              3.5.1      Extensions to the PHP Reflection API, static code scanning, and code generation
laminas/laminas-config                                            3.7.0      provides a nested object property based user interface for accessing this configuration data within applica...
laminas/laminas-crypt                                             3.8.0      Strong cryptography tools and password hashing
laminas/laminas-db                                                2.15.1     Database abstraction layer, SQL abstraction, result set abstraction, and RowDataGateway and TableDataGatewa...
laminas/laminas-dependency-plugin                                 2.4.0      Replace zendframework and zfcampus packages with their Laminas Project equivalents.
laminas/laminas-di                                                3.9.1      Automated dependency injection for PSR-11 containers
laminas/laminas-escaper                                           2.7.0      Securely and safely escape HTML, HTML attributes, JavaScript, CSS, and URLs
laminas/laminas-eventmanager                                      3.5.0      Trigger and listen to events within a PHP application
laminas/laminas-feed                                              2.14.1     provides functionality for consuming RSS and Atom feeds
laminas/laminas-filter                                            2.22.0     Programmatically filter and normalize data and files
laminas/laminas-http                                              2.14.3     Provides an easy interface for performing Hyper-Text Transfer Protocol (HTTP) requests
laminas/laminas-i18n                                              2.14.0     Provide translations for your application, and filter and validate internationalized values
laminas/laminas-json                                              3.3.0      provides convenience methods for serializing native PHP to JSON and decoding JSON to native PHP
laminas/laminas-loader                                            2.8.0      Autoloading and plugin loading strategies
laminas/laminas-mail                                              2.16.0     Provides generalized functionality to compose and send both text and MIME-compliant multipart e-mail messages
laminas/laminas-math                                              3.5.0      Create cryptographically secure pseudo-random numbers, and manage big integers
laminas/laminas-mime                                              2.10.0     Create and parse MIME messages and parts
laminas/laminas-modulemanager                                     2.12.0     Modular application system for laminas-mvc applications
