module,composer_version
magento/magento2-functional-testing-framework,3.5.1
magento/module-admin-analytics,100.4.3-p1
magento/module-admin-notification,100.4.2
magento/module-adobe-ims,2.1.2
magento/module-adobe-ims-api,2.1.0
magento/module-adobe-stock-admin-ui,1.3.0-p2
magento/module-adobe-stock-asset,1.3.0-p2
magento/module-adobe-stock-asset-api,2.0.0-p2
magento/module-adobe-stock-client,1.3.1-p2
magento/module-adobe-stock-client-api,2.1.0-p2
magento/module-adobe-stock-image,1.3.1-p2
magento/module-adobe-stock-image-admin-ui,1.3.1-p2
magento/module-adobe-stock-image-api,1.3.0-p2
magento/module-advanced-pricing-import-export,100.4.3
magento/module-advanced-search,100.4.1
magento/module-amqp,100.4.1
magento/module-amqp-store,100.4.1
magento/module-analytics,100.4.3
magento/module-asynchronous-operations,100.4.3
magento/module-authorization,100.4.3
magento/module-aws-s3,100.4.1-p1
magento/module-aws-s3-page-builder,1.0.1-p3
magento/module-backend,102.0.3
magento/module-backup,100.4.3
magento/module-bundle,101.0.3
magento/module-bundle-graph-ql,100.4.3
magento/module-bundle-import-export,100.4.2
magento/module-cache-invalidate,100.4.1
magento/module-captcha,100.4.3-p1
magento/module-cardinal-commerce,100.4.1
magento/module-catalog,104.0.3-p3
magento/module-catalog-analytics,100.4.1
magento/module-catalog-cms-graph-ql,100.4.0
magento/module-catalog-customer-graph-ql,100.4.3
magento/module-catalog-graph-ql,100.4.3
magento/module-catalog-import-export,101.1.3
magento/module-catalog-inventory,100.4.3
magento/module-catalog-inventory-graph-ql,100.4.0
magento/module-catalog-page-builder-analytics,1.6.1-p3
magento/module-catalog-rule,101.2.3
magento/module-catalog-rule-configurable,100.4.2
magento/module-catalog-rule-graph-ql,100.4.1
magento/module-catalog-search,102.0.3
magento/module-catalog-url-rewrite,100.4.3
magento/module-catalog-url-rewrite-graph-ql,100.4.2
magento/module-catalog-widget,100.4.3
magento/module-checkout,100.4.3-p3
magento/module-checkout-agreements,100.4.2
magento/module-checkout-agreements-graph-ql,100.4.0
magento/module-cms,104.0.3-p1
magento/module-cms-graph-ql,100.4.1
magento/module-cms-page-builder-analytics,1.6.1-p3
magento/module-cms-url-rewrite,100.4.2
magento/module-cms-url-rewrite-graph-ql,100.4.1
magento/module-compare-list-graph-ql,100.4.0
magento/module-config,101.2.3
magento/module-configurable-import-export,100.4.1
magento/module-configurable-product,100.4.3
magento/module-configurable-product-graph-ql,100.4.3
magento/module-configurable-product-sales,100.4.1
magento/module-contact,100.4.3-p2
magento/module-cookie,100.4.3
magento/module-cron,100.4.3
magento/module-csp,100.4.2-p1
magento/module-currency-symbol,100.4.2
magento/module-customer,103.0.3-p3
magento/module-customer-analytics,100.4.1
magento/module-customer-downloadable-graph-ql,100.4.0
magento/module-customer-graph-ql,100.4.3
magento/module-customer-import-export,100.4.3
magento/module-deploy,100.4.3
magento/module-developer,100.4.3
magento/module-dhl,100.4.2
magento/module-directory,100.4.3
magento/module-directory-graph-ql,100.4.1
magento/module-downloadable,100.4.3
magento/module-downloadable-graph-ql,100.4.3
magento/module-downloadable-import-export,100.4.2
magento/module-eav,102.1.3
magento/module-eav-graph-ql,100.4.1
magento/module-elasticsearch,101.0.3
magento/module-elasticsearch-6,100.4.3
magento/module-elasticsearch-7,100.4.3
magento/module-email,101.1.3-p2
magento/module-encryption-key,100.4.2
magento/module-fedex,100.4.2
magento/module-gift-message,100.4.2
magento/module-gift-message-graph-ql,100.4.1
magento/module-google-adwords,100.4.1
magento/module-google-analytics,100.4.0
magento/module-google-optimizer,100.4.2
magento/module-graph-ql,100.4.3-p2
magento/module-graph-ql-cache,100.4.0
magento/module-grouped-catalog-inventory,100.4.0
magento/module-grouped-import-export,100.4.1
magento/module-grouped-product,100.4.3
magento/module-grouped-product-graph-ql,100.4.3
magento/module-import-export,101.0.3
magento/module-indexer,100.4.3
magento/module-instant-purchase,100.4.2
magento/module-integration,100.4.3-p2
magento/module-inventory,1.2.1-p2
magento/module-inventory-admin-ui,1.2.1-p2
magento/module-inventory-advanced-checkout,1.2.0-p2
magento/module-inventory-api,1.2.1-p2
magento/module-inventory-bundle-import-export,1.1.0-p2
magento/module-inventory-bundle-product,1.2.0-p2
magento/module-inventory-bundle-product-admin-ui,1.2.1-p2
magento/module-inventory-bundle-product-indexer,1.1.0-p2
magento/module-inventory-cache,1.2.1-p2
magento/module-inventory-catalog,1.2.1-p2
magento/module-inventory-catalog-admin-ui,1.2.1-p2
magento/module-inventory-catalog-api,1.3.1-p2
magento/module-inventory-catalog-frontend-ui,1.0.1-p2
magento/module-inventory-catalog-search,1.2.1-p2
magento/module-inventory-catalog-search-bundle-product,1.0.0-p2
magento/module-inventory-catalog-search-configurable-product,1.0.0-p2
magento/module-inventory-configurable-product,1.2.1-p2
magento/module-inventory-configurable-product-admin-ui,1.2.1-p2
magento/module-inventory-configurable-product-frontend-ui,1.0.1-p2
magento/module-inventory-configurable-product-indexer,1.2.1-p2
magento/module-inventory-configuration,1.2.1-p2
magento/module-inventory-configuration-api,1.2.0-p2
magento/module-inventory-distance-based-source-selection,1.2.1-p2
magento/module-inventory-distance-based-source-selection-admin-ui,1.2.0-p2
magento/module-inventory-distance-based-source-selection-api,1.2.0-p2
magento/module-inventory-elasticsearch,1.2.0-p2
magento/module-inventory-export-stock,1.2.0-p2
magento/module-inventory-export-stock-api,1.2.0-p2
magento/module-inventory-graph-ql,1.2.0-p2
magento/module-inventory-grouped-product,1.2.1-p2
magento/module-inventory-grouped-product-admin-ui,1.2.1-p2
magento/module-inventory-grouped-product-indexer,1.2.1-p2
magento/module-inventory-import-export,1.2.1-p2
magento/module-inventory-in-store-pickup,1.1.0-p2
magento/module-inventory-in-store-pickup-admin-ui,1.1.0-p2
magento/module-inventory-in-store-pickup-api,1.1.0-p2
magento/module-inventory-in-store-pickup-frontend,1.1.1-p2
magento/module-inventory-in-store-pickup-graph-ql,1.1.0-p2
magento/module-inventory-in-store-pickup-multishipping,1.1.0-p2
magento/module-inventory-in-store-pickup-quote,1.1.0-p2
magento/module-inventory-in-store-pickup-quote-graph-ql,1.1.0-p2
magento/module-inventory-in-store-pickup-sales,1.1.0-p2
magento/module-inventory-in-store-pickup-sales-admin-ui,1.1.1-p2
magento/module-inventory-in-store-pickup-sales-api,1.1.0-p2
magento/module-inventory-in-store-pickup-shipping,1.1.0-p2
magento/module-inventory-in-store-pickup-shipping-admin-ui,1.1.0-p2
magento/module-inventory-in-store-pickup-shipping-api,1.1.0-p2
magento/module-inventory-in-store-pickup-webapi-extension,1.1.0-p2
magento/module-inventory-indexer,2.1.1-p2
magento/module-inventory-low-quantity-notification,1.2.0-p2
magento/module-inventory-low-quantity-notification-admin-ui,1.2.1-p2
magento/module-inventory-low-quantity-notification-api,1.2.0-p2
magento/module-inventory-multi-dimensional-indexer-api,1.2.0-p2
magento/module-inventory-product-alert,1.2.1-p2
magento/module-inventory-quote-graph-ql,1.0.0-p2
magento/module-inventory-requisition-list,1.2.1-p2
magento/module-inventory-reservation-cli,1.2.1-p2
magento/module-inventory-reservations,1.2.0-p2
magento/module-inventory-reservations-api,1.2.0-p2
magento/module-inventory-sales,1.2.1-p2
magento/module-inventory-sales-admin-ui,1.2.1-p2
magento/module-inventory-sales-api,1.2.0-p2
magento/module-inventory-sales-frontend-ui,1.2.1-p2
magento/module-inventory-setup-fixture-generator,1.2.0-p2
magento/module-inventory-shipping,1.2.1-p2
magento/module-inventory-shipping-admin-ui,1.2.1-p2
magento/module-inventory-source-deduction-api,1.2.1-p2
magento/module-inventory-source-selection,1.2.0-p2
magento/module-inventory-source-selection-api,1.4.0-p2
magento/module-inventory-swatches-frontend-ui,1.0.0-p2
magento/module-inventory-visual-merchandiser,1.1.1-p2
magento/module-inventory-wishlist,1.0.0-p2
magento/module-jwt-framework-adapter,100.4.0
magento/module-layered-navigation,100.4.3
magento/module-login-as-customer,100.4.3
magento/module-login-as-customer-admin-ui,100.4.3-p1
magento/module-login-as-customer-api,100.4.2
magento/module-login-as-customer-assistance,100.4.2-p1
magento/module-login-as-customer-frontend-ui,100.4.3-p1
magento/module-login-as-customer-graph-ql,100.4.0
magento/module-login-as-customer-log,100.4.2-p1
magento/module-login-as-customer-page-cache,100.4.3-p1
magento/module-login-as-customer-quote,100.4.2-p1
magento/module-login-as-customer-sales,100.4.3-p1
magento/module-marketplace,100.4.2
magento/module-media-content,100.4.2
magento/module-media-content-api,100.4.2
magento/module-media-content-catalog,100.4.2
magento/module-media-content-cms,100.4.2
magento/module-media-content-synchronization,100.4.2
magento/module-media-content-synchronization-api,100.4.1
magento/module-media-content-synchronization-catalog,100.4.1
magento/module-media-content-synchronization-cms,100.4.1
magento/module-media-gallery,100.4.2-p1
magento/module-media-gallery-api,101.0.2
magento/module-media-gallery-catalog,100.4.1
magento/module-media-gallery-catalog-integration,100.4.1-p1
magento/module-media-gallery-catalog-ui,100.4.1-p1
magento/module-media-gallery-cms-ui,100.4.1-p1
magento/module-media-gallery-integration,100.4.2
magento/module-media-gallery-metadata,100.4.1
magento/module-media-gallery-metadata-api,100.4.0
magento/module-media-gallery-renditions,100.4.1-p1
magento/module-media-gallery-renditions-api,100.4.0
magento/module-media-gallery-synchronization,100.4.2
magento/module-media-gallery-synchronization-api,100.4.1
magento/module-media-gallery-synchronization-metadata,100.4.0
magento/module-media-gallery-ui,100.4.2-p1
magento/module-media-gallery-ui-api,100.4.1
magento/module-media-storage,100.4.2-p1
magento/module-message-queue,100.4.3
magento/module-msrp,100.4.2
magento/module-msrp-configurable-product,100.4.1
magento/module-msrp-grouped-product,100.4.1
magento/module-multishipping,100.4.3
magento/module-mysql-mq,100.4.1
magento/module-new-relic-reporting,100.4.1
magento/module-newsletter,100.4.3-p2
magento/module-newsletter-graph-ql,100.4.0
magento/module-offline-payments,100.4.2
magento/module-offline-shipping,100.4.2
magento/module-page-builder,2.2.1-p3
magento/module-page-builder-admin-analytics,1.1.1-p3
magento/module-page-builder-analytics,1.6.1-p3
magento/module-page-cache,100.4.3
magento/module-payment,100.4.3
magento/module-paypal,101.0.3-p1
magento/module-paypal-captcha,100.4.1
magento/module-paypal-graph-ql,100.4.1
magento/module-persistent,100.4.3
magento/module-product-alert,100.4.2
magento/module-product-video,100.4.3-p3
magento/module-quote,101.2.3-p3
magento/module-quote-analytics,100.4.3
magento/module-quote-bundle-options,100.4.0
magento/module-quote-configurable-options,100.4.0
magento/module-quote-downloadable-links,100.4.0
magento/module-quote-graph-ql,100.4.3
magento/module-re-captcha-admin-ui,1.1.1
magento/module-re-captcha-checkout,1.1.1
magento/module-re-captcha-contact,1.1.0
magento/module-re-captcha-customer,1.1.1
magento/module-re-captcha-frontend-ui,1.1.1
magento/module-re-captcha-migration,1.1.1
